date,trend_value,keyword,ISO_YEAR,ISO_WEEK
2013-08-11,0.0,virus gripa,2013,32
2013-08-18,0.0,virus gripa,2013,33
2013-08-25,0.0,virus gripa,2013,34
2013-09-01,0.0,virus gripa,2013,35
2013-09-08,0.0,virus gripa,2013,36
2013-09-15,0.0,virus gripa,2013,37
2013-09-22,0.0,virus gripa,2013,38
2013-09-29,0.0,virus gripa,2013,39
2013-10-06,0.0,virus gripa,2013,40
2013-10-13,0.0,virus gripa,2013,41
2013-10-20,0.0,virus gripa,2013,42
2013-10-27,0.0,virus gripa,2013,43
2013-11-03,0.0,virus gripa,2013,44
2013-11-10,0.0,virus gripa,2013,45
2013-11-17,0.0,virus gripa,2013,46
2013-11-24,0.0,virus gripa,2013,47
2013-12-01,0.0,virus gripa,2013,48
2013-12-08,0.0,virus gripa,2013,49
2013-12-15,0.0,virus gripa,2013,50
2013-12-22,0.0,virus gripa,2013,51
2013-12-29,0.0,virus gripa,2013,52
2014-01-05,0.0,virus gripa,2014,1
2014-01-12,0.0,virus gripa,2014,2
2014-01-19,0.0,virus gripa,2014,3
2014-01-26,0.0,virus gripa,2014,4
2014-02-02,0.0,virus gripa,2014,5
2014-02-09,0.0,virus gripa,2014,6
2014-02-16,0.0,virus gripa,2014,7
2014-02-23,0.0,virus gripa,2014,8
2014-03-02,0.0,virus gripa,2014,9
2014-03-09,0.0,virus gripa,2014,10
2014-03-16,0.0,virus gripa,2014,11
2014-03-23,0.0,virus gripa,2014,12
2014-03-30,0.0,virus gripa,2014,13
2014-04-06,0.0,virus gripa,2014,14
2014-04-13,0.0,virus gripa,2014,15
2014-04-20,0.0,virus gripa,2014,16
2014-04-27,0.0,virus gripa,2014,17
2014-05-04,0.0,virus gripa,2014,18
2014-05-11,0.0,virus gripa,2014,19
2014-05-18,0.0,virus gripa,2014,20
2014-05-25,0.0,virus gripa,2014,21
2014-06-01,0.0,virus gripa,2014,22
2014-06-08,0.0,virus gripa,2014,23
2014-06-15,0.0,virus gripa,2014,24
2014-06-22,0.0,virus gripa,2014,25
2014-06-29,0.0,virus gripa,2014,26
2014-07-06,0.0,virus gripa,2014,27
2014-07-13,0.0,virus gripa,2014,28
2014-07-20,0.0,virus gripa,2014,29
2014-07-27,0.0,virus gripa,2014,30
2014-08-03,0.0,virus gripa,2014,31
2014-08-10,0.0,virus gripa,2014,32
2014-08-17,0.0,virus gripa,2014,33
2014-08-24,0.0,virus gripa,2014,34
2014-08-31,0.0,virus gripa,2014,35
2014-09-07,0.0,virus gripa,2014,36
2014-09-14,0.0,virus gripa,2014,37
2014-09-21,0.0,virus gripa,2014,38
2014-09-28,0.0,virus gripa,2014,39
2014-10-05,0.0,virus gripa,2014,40
2014-10-12,0.0,virus gripa,2014,41
2014-10-19,0.0,virus gripa,2014,42
2014-10-26,0.0,virus gripa,2014,43
2014-11-02,0.0,virus gripa,2014,44
2014-11-09,0.0,virus gripa,2014,45
2014-11-16,0.0,virus gripa,2014,46
2014-11-23,0.0,virus gripa,2014,47
2014-11-30,0.0,virus gripa,2014,48
2014-12-07,0.0,virus gripa,2014,49
2014-12-14,0.0,virus gripa,2014,50
2014-12-21,0.0,virus gripa,2014,51
2014-12-28,0.0,virus gripa,2014,52
2015-01-04,0.0,virus gripa,2015,1
2015-01-11,0.0,virus gripa,2015,2
2015-01-18,60.0,virus gripa,2015,3
2015-01-25,50.0,virus gripa,2015,4
2015-02-01,0.0,virus gripa,2015,5
2015-02-08,0.0,virus gripa,2015,6
2015-02-15,58.0,virus gripa,2015,7
2015-02-22,66.0,virus gripa,2015,8
2015-03-01,58.0,virus gripa,2015,9
2015-03-08,100.0,virus gripa,2015,10
2015-03-15,0.0,virus gripa,2015,11
2015-03-22,0.0,virus gripa,2015,12
2015-03-29,0.0,virus gripa,2015,13
2015-04-05,0.0,virus gripa,2015,14
2015-04-12,0.0,virus gripa,2015,15
2015-04-19,0.0,virus gripa,2015,16
2015-04-26,0.0,virus gripa,2015,17
2015-05-03,0.0,virus gripa,2015,18
2015-05-10,0.0,virus gripa,2015,19
2015-05-17,0.0,virus gripa,2015,20
2015-05-24,0.0,virus gripa,2015,21
2015-05-31,0.0,virus gripa,2015,22
2015-06-07,0.0,virus gripa,2015,23
2015-06-14,0.0,virus gripa,2015,24
2015-06-21,0.0,virus gripa,2015,25
2015-06-28,0.0,virus gripa,2015,26
2015-07-05,0.0,virus gripa,2015,27
2015-07-12,0.0,virus gripa,2015,28
2015-07-19,0.0,virus gripa,2015,29
2015-07-26,0.0,virus gripa,2015,30
2015-08-02,0.0,virus gripa,2015,31
2015-08-09,0.0,virus gripa,2015,32
2015-08-16,0.0,virus gripa,2015,33
2015-08-23,0.0,virus gripa,2015,34
2015-08-30,0.0,virus gripa,2015,35
2015-09-06,0.0,virus gripa,2015,36
2015-09-13,0.0,virus gripa,2015,37
2015-09-20,0.0,virus gripa,2015,38
2015-09-27,0.0,virus gripa,2015,39
2015-10-04,0.0,virus gripa,2015,40
2015-10-11,0.0,virus gripa,2015,41
2015-10-18,0.0,virus gripa,2015,42
2015-10-25,0.0,virus gripa,2015,43
2015-11-01,0.0,virus gripa,2015,44
2015-11-08,0.0,virus gripa,2015,45
2015-11-15,0.0,virus gripa,2015,46
2015-11-22,0.0,virus gripa,2015,47
2015-11-29,0.0,virus gripa,2015,48
2015-12-06,0.0,virus gripa,2015,49
2015-12-13,0.0,virus gripa,2015,50
2015-12-20,0.0,virus gripa,2015,51
2015-12-27,0.0,virus gripa,2015,52
2016-01-03,0.0,virus gripa,2015,53
2016-01-10,0.0,virus gripa,2016,1
2016-01-17,0.0,virus gripa,2016,2
2016-01-24,0.0,virus gripa,2016,3
2016-01-31,0.0,virus gripa,2016,4
2016-02-07,0.0,virus gripa,2016,5
2016-02-14,0.0,virus gripa,2016,6
2016-02-21,0.0,virus gripa,2016,7
2016-02-28,0.0,virus gripa,2016,8
2016-03-06,0.0,virus gripa,2016,9
2016-03-13,0.0,virus gripa,2016,10
2016-03-20,0.0,virus gripa,2016,11
2016-03-27,0.0,virus gripa,2016,12
2016-04-03,0.0,virus gripa,2016,13
2016-04-10,0.0,virus gripa,2016,14
2016-04-17,0.0,virus gripa,2016,15
2016-04-24,0.0,virus gripa,2016,16
2016-05-01,0.0,virus gripa,2016,17
2016-05-08,0.0,virus gripa,2016,18
2016-05-15,0.0,virus gripa,2016,19
2016-05-22,0.0,virus gripa,2016,20
2016-05-29,0.0,virus gripa,2016,21
2016-06-05,0.0,virus gripa,2016,22
2016-06-12,0.0,virus gripa,2016,23
2016-06-19,0.0,virus gripa,2016,24
2016-06-26,0.0,virus gripa,2016,25
2016-07-03,0.0,virus gripa,2016,26
2016-07-10,0.0,virus gripa,2016,27
2016-07-17,0.0,virus gripa,2016,28
2016-07-24,0.0,virus gripa,2016,29
2016-07-31,0.0,virus gripa,2016,30
2016-08-07,0.0,virus gripa,2016,31
2016-08-14,0.0,virus gripa,2016,32
2016-08-21,0.0,virus gripa,2016,33
2016-08-28,0.0,virus gripa,2016,34
2016-09-04,0.0,virus gripa,2016,35
2016-09-11,0.0,virus gripa,2016,36
2016-09-18,0.0,virus gripa,2016,37
2016-09-25,0.0,virus gripa,2016,38
2016-10-02,0.0,virus gripa,2016,39
2016-10-09,0.0,virus gripa,2016,40
2016-10-16,0.0,virus gripa,2016,41
2016-10-23,0.0,virus gripa,2016,42
2016-10-30,0.0,virus gripa,2016,43
2016-11-06,0.0,virus gripa,2016,44
2016-11-13,0.0,virus gripa,2016,45
2016-11-20,0.0,virus gripa,2016,46
2016-11-27,0.0,virus gripa,2016,47
2016-12-04,0.0,virus gripa,2016,48
2016-12-11,0.0,virus gripa,2016,49
2016-12-18,36.0,virus gripa,2016,50
2016-12-25,77.0,virus gripa,2016,51
2017-01-01,100.0,virus gripa,2016,52
2017-01-08,0.0,virus gripa,2017,1
2017-01-15,0.0,virus gripa,2017,2
2017-01-22,26.0,virus gripa,2017,3
2017-01-29,0.0,virus gripa,2017,4
2017-02-05,0.0,virus gripa,2017,5
2017-02-12,0.0,virus gripa,2017,6
2017-02-19,0.0,virus gripa,2017,7
2017-02-26,0.0,virus gripa,2017,8
2017-03-05,0.0,virus gripa,2017,9
2017-03-12,0.0,virus gripa,2017,10
2017-03-19,0.0,virus gripa,2017,11
2017-03-26,0.0,virus gripa,2017,12
2017-04-02,0.0,virus gripa,2017,13
2017-04-09,0.0,virus gripa,2017,14
2017-04-16,0.0,virus gripa,2017,15
2017-04-23,0.0,virus gripa,2017,16
2017-04-30,0.0,virus gripa,2017,17
2017-05-07,0.0,virus gripa,2017,18
2017-05-14,0.0,virus gripa,2017,19
2017-05-21,0.0,virus gripa,2017,20
2017-05-28,0.0,virus gripa,2017,21
2017-06-04,0.0,virus gripa,2017,22
2017-06-11,0.0,virus gripa,2017,23
2017-06-18,0.0,virus gripa,2017,24
2017-06-25,0.0,virus gripa,2017,25
2017-07-02,0.0,virus gripa,2017,26
2017-07-09,0.0,virus gripa,2017,27
2017-07-16,0.0,virus gripa,2017,28
2017-07-23,0.0,virus gripa,2017,29
2017-07-30,0.0,virus gripa,2017,30
2017-08-06,0.0,virus gripa,2017,31
2017-08-13,0.0,virus gripa,2017,32
2017-08-20,0.0,virus gripa,2017,33
2017-08-27,0.0,virus gripa,2017,34
2017-09-03,0.0,virus gripa,2017,35
2017-09-10,0.0,virus gripa,2017,36
2017-09-17,0.0,virus gripa,2017,37
2017-09-24,0.0,virus gripa,2017,38
2017-10-01,0.0,virus gripa,2017,39
2017-10-08,0.0,virus gripa,2017,40
2017-10-15,0.0,virus gripa,2017,41
2017-10-22,0.0,virus gripa,2017,42
2017-10-29,0.0,virus gripa,2017,43
2017-11-05,0.0,virus gripa,2017,44
2017-11-12,0.0,virus gripa,2017,45
2017-11-19,0.0,virus gripa,2017,46
2017-11-26,0.0,virus gripa,2017,47
2017-12-03,0.0,virus gripa,2017,48
2017-12-10,0.0,virus gripa,2017,49
2017-12-17,0.0,virus gripa,2017,50
2017-12-24,0.0,virus gripa,2017,51
2017-12-31,0.0,virus gripa,2017,52
2018-01-07,0.0,virus gripa,2018,1
2018-01-14,0.0,virus gripa,2018,2
2018-01-21,0.0,virus gripa,2018,3
2018-01-28,26.0,virus gripa,2018,4
2018-02-04,71.0,virus gripa,2018,5
2018-02-11,54.0,virus gripa,2018,6
2018-02-18,26.0,virus gripa,2018,7
2018-02-25,0.0,virus gripa,2018,8
2018-03-04,0.0,virus gripa,2018,9
2018-03-11,0.0,virus gripa,2018,10
2018-03-18,0.0,virus gripa,2018,11
2018-03-25,0.0,virus gripa,2018,12
2018-04-01,0.0,virus gripa,2018,13
2018-04-08,0.0,virus gripa,2018,14
2018-04-15,0.0,virus gripa,2018,15
2018-04-22,0.0,virus gripa,2018,16
2018-04-29,0.0,virus gripa,2018,17
2018-05-06,0.0,virus gripa,2018,18
2018-05-13,0.0,virus gripa,2018,19
2018-05-20,0.0,virus gripa,2018,20
2018-05-27,0.0,virus gripa,2018,21
2018-06-03,0.0,virus gripa,2018,22
2018-06-10,0.0,virus gripa,2018,23
2018-06-17,0.0,virus gripa,2018,24
2018-06-24,0.0,virus gripa,2018,25
2018-07-01,0.0,virus gripa,2018,26
2018-07-08,0.0,virus gripa,2018,27
2018-07-15,0.0,virus gripa,2018,28
2018-07-22,0.0,virus gripa,2018,29
2018-07-29,0.0,virus gripa,2018,30
2018-08-05,0.0,virus gripa,2018,31
2018-08-12,0.0,virus gripa,2018,32
2018-08-19,0.0,virus gripa,2018,33
2018-08-26,0.0,virus gripa,2018,34
2018-09-02,0.0,virus gripa,2018,35
2018-09-09,0.0,virus gripa,2018,36
2018-09-16,0.0,virus gripa,2018,37
2018-09-23,0.0,virus gripa,2018,38
2018-09-30,0.0,virus gripa,2018,39
2018-10-07,0.0,virus gripa,2018,40
2018-10-14,0.0,virus gripa,2018,41
2018-10-21,0.0,virus gripa,2018,42
2018-10-28,0.0,virus gripa,2018,43
2018-11-04,0.0,virus gripa,2018,44
2018-11-11,0.0,virus gripa,2018,45
2018-11-18,0.0,virus gripa,2018,46
2018-11-25,0.0,virus gripa,2018,47
2018-12-02,0.0,virus gripa,2018,48
2018-12-09,0.0,virus gripa,2018,49
2018-12-16,0.0,virus gripa,2018,50
2018-12-23,0.0,virus gripa,2018,51
2018-12-30,0.0,virus gripa,2018,52
2019-01-06,0.0,virus gripa,2019,1
2019-01-13,0.0,virus gripa,2019,2
2019-01-20,0.0,virus gripa,2019,3
2019-01-27,60.340909090909086,virus gripa,2019,4
2019-02-03,201.13636363636363,virus gripa,2019,5
2019-02-10,185.04545454545453,virus gripa,2019,6
2019-02-17,112.63636363636364,virus gripa,2019,7
2019-02-24,52.29545454545454,virus gripa,2019,8
2019-03-03,40.22727272727273,virus gripa,2019,9
2019-03-10,0.0,virus gripa,2019,10
2019-03-17,0.0,virus gripa,2019,11
2019-03-24,0.0,virus gripa,2019,12
2019-03-31,0.0,virus gripa,2019,13
2019-04-07,0.0,virus gripa,2019,14
2019-04-14,0.0,virus gripa,2019,15
2019-04-21,0.0,virus gripa,2019,16
2019-04-28,0.0,virus gripa,2019,17
2019-05-05,0.0,virus gripa,2019,18
2019-05-12,0.0,virus gripa,2019,19
2019-05-19,0.0,virus gripa,2019,20
2019-05-26,0.0,virus gripa,2019,21
2019-06-02,0.0,virus gripa,2019,22
2019-06-09,0.0,virus gripa,2019,23
2019-06-16,0.0,virus gripa,2019,24
2019-06-23,0.0,virus gripa,2019,25
2019-06-30,0.0,virus gripa,2019,26
2019-07-07,0.0,virus gripa,2019,27
2019-07-14,0.0,virus gripa,2019,28
2019-07-21,0.0,virus gripa,2019,29
2019-07-28,0.0,virus gripa,2019,30
2019-08-04,0.0,virus gripa,2019,31
2019-08-11,0.0,virus gripa,2019,32
2019-08-18,0.0,virus gripa,2019,33
2019-08-25,0.0,virus gripa,2019,34
2019-09-01,0.0,virus gripa,2019,35
2019-09-08,0.0,virus gripa,2019,36
2019-09-15,0.0,virus gripa,2019,37
2019-09-22,0.0,virus gripa,2019,38
2019-09-29,0.0,virus gripa,2019,39
2019-10-06,0.0,virus gripa,2019,40
2019-10-13,0.0,virus gripa,2019,41
2019-10-20,0.0,virus gripa,2019,42
2019-10-27,0.0,virus gripa,2019,43
2019-11-03,0.0,virus gripa,2019,44
2019-11-10,0.0,virus gripa,2019,45
2019-11-17,0.0,virus gripa,2019,46
2019-11-24,0.0,virus gripa,2019,47
2019-12-01,0.0,virus gripa,2019,48
2019-12-08,0.0,virus gripa,2019,49
2019-12-15,0.0,virus gripa,2019,50
2019-12-22,0.0,virus gripa,2019,51
2019-12-29,0.0,virus gripa,2019,52
2020-01-05,0.0,virus gripa,2020,1
2020-01-12,0.0,virus gripa,2020,2
2020-01-19,62.35227272727273,virus gripa,2020,3
2020-01-26,90.51136363636364,virus gripa,2020,4
2020-02-02,70.39772727272727,virus gripa,2020,5
2020-02-09,78.44318181818181,virus gripa,2020,6
2020-02-16,0.0,virus gripa,2020,7
2020-02-23,70.39772727272727,virus gripa,2020,8
2020-03-01,26.14772727272727,virus gripa,2020,9
2020-03-08,114.64772727272728,virus gripa,2020,10
2020-03-15,124.70454545454544,virus gripa,2020,11
2020-03-22,42.23863636363636,virus gripa,2020,12
2020-03-29,34.19318181818181,virus gripa,2020,13
2020-04-05,0.0,virus gripa,2020,14
2020-04-12,0.0,virus gripa,2020,15
2020-04-19,0.0,virus gripa,2020,16
2020-04-26,0.0,virus gripa,2020,17
2020-05-03,0.0,virus gripa,2020,18
2020-05-10,0.0,virus gripa,2020,19
2020-05-17,0.0,virus gripa,2020,20
2020-05-24,0.0,virus gripa,2020,21
2020-05-31,0.0,virus gripa,2020,22
2020-06-07,0.0,virus gripa,2020,23
2020-06-14,0.0,virus gripa,2020,24
2020-06-21,0.0,virus gripa,2020,25
2020-06-28,0.0,virus gripa,2020,26
2020-07-05,0.0,virus gripa,2020,27
2020-07-12,0.0,virus gripa,2020,28
2020-07-19,0.0,virus gripa,2020,29
2020-07-26,0.0,virus gripa,2020,30
2020-08-02,0.0,virus gripa,2020,31
2020-08-09,0.0,virus gripa,2020,32
2020-08-16,0.0,virus gripa,2020,33
2020-08-23,0.0,virus gripa,2020,34
2020-08-30,0.0,virus gripa,2020,35
2020-09-06,0.0,virus gripa,2020,36
2020-09-13,0.0,virus gripa,2020,37
2020-09-20,0.0,virus gripa,2020,38
2020-09-27,0.0,virus gripa,2020,39
2020-10-04,0.0,virus gripa,2020,40
2020-10-11,0.0,virus gripa,2020,41
2020-10-18,0.0,virus gripa,2020,42
2020-10-25,0.0,virus gripa,2020,43
2020-11-01,0.0,virus gripa,2020,44
2020-11-08,0.0,virus gripa,2020,45
2020-11-15,0.0,virus gripa,2020,46
2020-11-22,0.0,virus gripa,2020,47
2020-11-29,0.0,virus gripa,2020,48
2020-12-06,0.0,virus gripa,2020,49
2020-12-13,0.0,virus gripa,2020,50
2020-12-20,0.0,virus gripa,2020,51
2020-12-27,0.0,virus gripa,2020,52
2021-01-03,0.0,virus gripa,2020,53
2021-01-10,0.0,virus gripa,2021,1
2021-01-17,86.0,virus gripa,2021,2
2021-01-24,0.0,virus gripa,2021,3
2021-01-31,0.0,virus gripa,2021,4
2021-02-07,0.0,virus gripa,2021,5
2021-02-14,0.0,virus gripa,2021,6
2021-02-21,0.0,virus gripa,2021,7
2021-02-28,0.0,virus gripa,2021,8
2021-03-07,0.0,virus gripa,2021,9
2021-03-14,0.0,virus gripa,2021,10
2021-03-21,0.0,virus gripa,2021,11
2021-03-28,0.0,virus gripa,2021,12
2021-04-04,0.0,virus gripa,2021,13
2021-04-11,0.0,virus gripa,2021,14
2021-04-18,0.0,virus gripa,2021,15
2021-04-25,0.0,virus gripa,2021,16
2021-05-02,0.0,virus gripa,2021,17
2021-05-09,0.0,virus gripa,2021,18
2021-05-16,0.0,virus gripa,2021,19
2021-05-23,0.0,virus gripa,2021,20
2021-05-30,0.0,virus gripa,2021,21
2021-06-06,0.0,virus gripa,2021,22
2021-06-13,0.0,virus gripa,2021,23
2021-06-20,0.0,virus gripa,2021,24
2021-06-27,0.0,virus gripa,2021,25
2021-07-04,0.0,virus gripa,2021,26
2021-07-11,0.0,virus gripa,2021,27
2021-07-18,0.0,virus gripa,2021,28
2021-07-25,0.0,virus gripa,2021,29
2021-08-01,0.0,virus gripa,2021,30
2021-08-08,0.0,virus gripa,2021,31
2021-08-15,0.0,virus gripa,2021,32
2021-08-22,0.0,virus gripa,2021,33
2021-08-29,0.0,virus gripa,2021,34
2021-09-05,0.0,virus gripa,2021,35
2021-09-12,0.0,virus gripa,2021,36
2021-09-19,100.0,virus gripa,2021,37
2021-09-26,0.0,virus gripa,2021,38
2021-10-03,0.0,virus gripa,2021,39
2021-10-10,0.0,virus gripa,2021,40
2021-10-17,0.0,virus gripa,2021,41
2021-10-24,0.0,virus gripa,2021,42
2021-10-31,0.0,virus gripa,2021,43
2021-11-07,0.0,virus gripa,2021,44
2021-11-14,0.0,virus gripa,2021,45
2021-11-21,0.0,virus gripa,2021,46
2021-11-28,0.0,virus gripa,2021,47
2021-12-05,0.0,virus gripa,2021,48
2021-12-12,0.0,virus gripa,2021,49
2021-12-19,0.0,virus gripa,2021,50
2021-12-26,0.0,virus gripa,2021,51
2022-01-02,0.0,virus gripa,2021,52
2022-01-09,0.0,virus gripa,2022,1
2022-01-16,0.0,virus gripa,2022,2
2022-01-23,0.0,virus gripa,2022,3
2022-01-30,0.0,virus gripa,2022,4
2022-02-06,0.0,virus gripa,2022,5
2022-02-13,0.0,virus gripa,2022,6
2022-02-20,0.0,virus gripa,2022,7
2022-02-27,0.0,virus gripa,2022,8
2022-03-06,0.0,virus gripa,2022,9
2022-03-13,0.0,virus gripa,2022,10
2022-03-20,0.0,virus gripa,2022,11
2022-03-27,0.0,virus gripa,2022,12
2022-04-03,0.0,virus gripa,2022,13
2022-04-10,0.0,virus gripa,2022,14
2022-04-17,0.0,virus gripa,2022,15
2022-04-24,0.0,virus gripa,2022,16
2022-05-01,0.0,virus gripa,2022,17
2022-05-08,0.0,virus gripa,2022,18
2022-05-15,0.0,virus gripa,2022,19
2022-05-22,0.0,virus gripa,2022,20
2022-05-29,0.0,virus gripa,2022,21
2022-06-05,0.0,virus gripa,2022,22
2022-06-12,0.0,virus gripa,2022,23
2022-06-19,0.0,virus gripa,2022,24
2022-06-26,0.0,virus gripa,2022,25
2022-07-03,0.0,virus gripa,2022,26
2022-07-10,0.0,virus gripa,2022,27
2022-07-17,0.0,virus gripa,2022,28
2022-07-24,0.0,virus gripa,2022,29
2022-07-31,0.0,virus gripa,2022,30
2022-08-07,0.0,virus gripa,2022,31
2022-08-14,0.0,virus gripa,2022,32
2022-08-21,0.0,virus gripa,2022,33
2022-08-28,0.0,virus gripa,2022,34
2022-09-04,0.0,virus gripa,2022,35
2022-09-11,0.0,virus gripa,2022,36
2022-09-18,0.0,virus gripa,2022,37
2022-09-25,0.0,virus gripa,2022,38
2022-10-02,0.0,virus gripa,2022,39
2022-10-09,0.0,virus gripa,2022,40
2022-10-16,0.0,virus gripa,2022,41
2022-10-23,0.0,virus gripa,2022,42
2022-10-30,0.0,virus gripa,2022,43
2022-11-06,0.0,virus gripa,2022,44
2022-11-13,0.0,virus gripa,2022,45
2022-11-20,0.0,virus gripa,2022,46
2022-11-27,0.0,virus gripa,2022,47
2022-12-04,0.0,virus gripa,2022,48
2022-12-11,0.0,virus gripa,2022,49
2022-12-18,0.0,virus gripa,2022,50
2022-12-25,0.0,virus gripa,2022,51
2023-01-01,0.0,virus gripa,2022,52
2023-01-08,0.0,virus gripa,2023,1
2023-01-15,0.0,virus gripa,2023,2
2023-01-22,0.0,virus gripa,2023,3
2023-01-29,0.0,virus gripa,2023,4
2023-02-05,0.0,virus gripa,2023,5
2023-02-12,92.0,virus gripa,2023,6
2023-02-19,0.0,virus gripa,2023,7
2023-02-26,0.0,virus gripa,2023,8
2023-03-05,0.0,virus gripa,2023,9
2023-03-12,0.0,virus gripa,2023,10
2023-03-19,0.0,virus gripa,2023,11
2023-03-26,0.0,virus gripa,2023,12
2023-04-02,0.0,virus gripa,2023,13
2023-04-09,0.0,virus gripa,2023,14
2023-04-16,0.0,virus gripa,2023,15
2023-04-23,0.0,virus gripa,2023,16
2023-04-30,0.0,virus gripa,2023,17
2023-05-07,0.0,virus gripa,2023,18
2023-05-14,0.0,virus gripa,2023,19
2023-05-21,0.0,virus gripa,2023,20
2023-05-28,0.0,virus gripa,2023,21
2023-06-04,0.0,virus gripa,2023,22
2023-06-11,0.0,virus gripa,2023,23
2023-06-18,0.0,virus gripa,2023,24
2023-06-25,0.0,virus gripa,2023,25
2023-07-02,0.0,virus gripa,2023,26
2023-07-09,0.0,virus gripa,2023,27
2023-07-16,0.0,virus gripa,2023,28
2023-07-23,0.0,virus gripa,2023,29
2023-07-30,0.0,virus gripa,2023,30
2023-08-06,0.0,virus gripa,2023,31
2023-08-13,0.0,virus gripa,2023,32
2023-08-20,0.0,virus gripa,2023,33
2023-08-27,0.0,virus gripa,2023,34
2023-09-03,0.0,virus gripa,2023,35
2023-09-10,0.0,virus gripa,2023,36
2023-09-17,0.0,virus gripa,2023,37
2023-09-24,0.0,virus gripa,2023,38
2023-10-01,0.0,virus gripa,2023,39
2023-10-08,0.0,virus gripa,2023,40
2023-10-15,0.0,virus gripa,2023,41
2023-10-22,0.0,virus gripa,2023,42
2023-10-29,0.0,virus gripa,2023,43
2023-11-05,0.0,virus gripa,2023,44
2023-11-12,0.0,virus gripa,2023,45
2023-11-19,0.0,virus gripa,2023,46
2023-11-26,0.0,virus gripa,2023,47
2023-12-03,0.0,virus gripa,2023,48
2023-12-10,0.0,virus gripa,2023,49
2023-12-17,0.0,virus gripa,2023,50
2023-12-24,0.0,virus gripa,2023,51
2023-12-31,0.0,virus gripa,2023,52
2024-01-07,0.0,virus gripa,2024,1
2024-01-14,73.60000000000001,virus gripa,2024,2
2024-01-21,0.0,virus gripa,2024,3
2024-01-28,0.0,virus gripa,2024,4
2024-02-04,0.0,virus gripa,2024,5
2024-02-11,0.0,virus gripa,2024,6
2024-02-18,0.0,virus gripa,2024,7
2024-02-25,0.0,virus gripa,2024,8
2024-03-03,0.0,virus gripa,2024,9
2024-03-10,0.0,virus gripa,2024,10
2024-03-17,0.0,virus gripa,2024,11
2024-03-24,0.0,virus gripa,2024,12
2024-03-31,0.0,virus gripa,2024,13
2024-04-07,0.0,virus gripa,2024,14
2024-04-14,0.0,virus gripa,2024,15
2024-04-21,0.0,virus gripa,2024,16
2024-04-28,0.0,virus gripa,2024,17
2024-05-05,0.0,virus gripa,2024,18
2024-05-12,0.0,virus gripa,2024,19
2024-05-19,0.0,virus gripa,2024,20
2024-05-26,0.0,virus gripa,2024,21
2024-06-02,0.0,virus gripa,2024,22
2024-06-09,0.0,virus gripa,2024,23
2024-06-16,0.0,virus gripa,2024,24
2024-06-23,0.0,virus gripa,2024,25
2024-06-30,0.0,virus gripa,2024,26
2024-07-07,0.0,virus gripa,2024,27
2024-07-14,0.0,virus gripa,2024,28
2024-07-21,0.0,virus gripa,2024,29
2024-07-28,0.0,virus gripa,2024,30
2024-08-04,0.0,virus gripa,2024,31
2024-08-11,0.0,virus gripa,2024,32
2024-08-18,0.0,virus gripa,2024,33
2024-08-25,0.0,virus gripa,2024,34
2024-09-01,0.0,virus gripa,2024,35
2024-09-08,0.0,virus gripa,2024,36
2024-09-15,0.0,virus gripa,2024,37
2024-09-22,0.0,virus gripa,2024,38
2024-09-29,0.0,virus gripa,2024,39
2024-10-06,0.0,virus gripa,2024,40
2024-10-13,0.0,virus gripa,2024,41
2024-10-20,0.0,virus gripa,2024,42
2024-10-27,0.0,virus gripa,2024,43
2024-11-03,0.0,virus gripa,2024,44
2024-11-10,0.0,virus gripa,2024,45
2024-11-17,0.0,virus gripa,2024,46
2024-11-24,0.0,virus gripa,2024,47
2024-12-01,0.0,virus gripa,2024,48
2024-12-08,0.0,virus gripa,2024,49
2024-12-15,0.0,virus gripa,2024,50
2024-12-22,0.0,virus gripa,2024,51
2024-12-29,0.0,virus gripa,2024,52
2013-01-06,0.0,simptomi gripa,2013,1
2013-01-13,16.0,simptomi gripa,2013,2
2013-01-20,0.0,simptomi gripa,2013,3
2013-01-27,0.0,simptomi gripa,2013,4
2013-02-03,0.0,simptomi gripa,2013,5
2013-02-10,18.0,simptomi gripa,2013,6
2013-02-17,22.0,simptomi gripa,2013,7
2013-02-24,0.0,simptomi gripa,2013,8
